0[0.8866]  1[0.1134]  0
0[0.9992]  1[0.0008]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9818]  1[0.0182]  0
0[0.1080]  1[0.8920]  1
0[0.9989]  1[0.0011]  0
0[0.0479]  1[0.9521]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9992]  1[0.0008]  0
0[1.0000]  1[0.0000]  0
0[0.9990]  1[0.0010]  0
0[0.9736]  1[0.0264]  0
0[1.0000]  1[0.0000]  0
0[0.9975]  1[0.0025]  0
0[0.3212]  1[0.6788]  1
0[0.9998]  1[0.0002]  0
0[0.9859]  1[0.0141]  0
0[0.3557]  1[0.6443]  1
0[0.9988]  1[0.0012]  0
0[0.6951]  1[0.3049]  0
0[0.7648]  1[0.2352]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9988]  1[0.0012]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0243]  1[0.9757]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9737]  1[0.0263]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.9978]  1[0.0022]  0
0[0.9985]  1[0.0015]  0
0[0.9975]  1[0.0025]  0
0[0.9980]  1[0.0020]  0
0[0.9900]  1[0.0100]  0
0[0.9993]  1[0.0007]  0
0[0.0543]  1[0.9457]  1
0[0.0248]  1[0.9752]  1
0[0.4493]  1[0.5507]  1
0[0.7420]  1[0.2580]  0
0[0.9999]  1[0.0001]  0
0[0.9998]  1[0.0002]  0
0[0.0293]  1[0.9707]  1
0[0.9989]  1[0.0011]  0
0[0.9177]  1[0.0823]  0
0[0.4158]  1[0.5842]  1
0[0.0230]  1[0.9770]  1
0[0.1143]  1[0.8857]  1
0[0.9999]  1[0.0001]  0
0[0.0161]  1[0.9839]  1
0[0.0403]  1[0.9597]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0006]  1[0.9994]  1
0[0.0543]  1[0.9457]  1
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[0.9961]  1[0.0039]  0
0[0.9999]  1[0.0001]  0
0[0.9221]  1[0.0779]  0
0[0.0293]  1[0.9707]  1
0[0.8038]  1[0.1962]  0
0[0.0543]  1[0.9457]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9886]  1[0.0114]  0
0[0.0081]  1[0.9919]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9955]  1[0.0045]  0
0[1.0000]  1[0.0000]  0
0[0.9930]  1[0.0070]  0
0[0.8664]  1[0.1336]  0
0[0.0161]  1[0.9839]  1
0[0.5174]  1[0.4826]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9736]  1[0.0264]  0
0[0.9998]  1[0.0002]  0
0[0.9998]  1[0.0002]  0
0[0.9993]  1[0.0007]  0
0[1.0000]  1[0.0000]  0
0[0.0087]  1[0.9913]  1
0[0.9996]  1[0.0004]  0
0[0.0407]  1[0.9593]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9983]  1[0.0017]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0027]  1[0.9973]  1
0[0.9991]  1[0.0009]  0
0[0.0076]  1[0.9924]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.4148]  1[0.5852]  1
0[0.9999]  1[0.0001]  0
0[0.0112]  1[0.9888]  1
0[0.9996]  1[0.0004]  0
0[0.9938]  1[0.0062]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.9954]  1[0.0046]  0
0[1.0000]  1[0.0000]  0
0[0.9971]  1[0.0029]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0086]  1[0.9914]  1
0[0.9984]  1[0.0016]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9984]  1[0.0016]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0154]  1[0.9846]  1
0[0.0177]  1[0.9823]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0007]  1[0.9993]  1
0[0.9999]  1[0.0001]  0
0[0.0161]  1[0.9839]  1
0[0.9999]  1[0.0001]  0
0[0.0154]  1[0.9846]  1
0[0.9944]  1[0.0056]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.8386]  1[0.1614]  0
0[0.0543]  1[0.9457]  1
0[0.6543]  1[0.3457]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9998]  1[0.0002]  0
0[0.9991]  1[0.0009]  0
0[0.9879]  1[0.0121]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0543]  1[0.9457]  1
0[0.9999]  1[0.0001]  0
0[0.9964]  1[0.0036]  0
0[0.9999]  1[0.0001]  0
0[0.9775]  1[0.0225]  0
0[0.6386]  1[0.3614]  0
0[0.0296]  1[0.9704]  1
0[0.9994]  1[0.0006]  0
0[1.0000]  1[0.0000]  0
0[0.9690]  1[0.0310]  0
0[0.1079]  1[0.8921]  1
0[0.9997]  1[0.0003]  0
0[0.0072]  1[0.9928]  1
0[0.9998]  1[0.0002]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[0.9976]  1[0.0024]  0
0[0.9999]  1[0.0001]  0
0[0.0051]  1[0.9949]  1
0[0.9995]  1[0.0005]  0
0[0.0249]  1[0.9751]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0156]  1[0.9844]  1
0[0.9893]  1[0.0107]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[0.9890]  1[0.0110]  0
0[0.0050]  1[0.9950]  1
0[0.0118]  1[0.9882]  1
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.9879]  1[0.0121]  0
0[0.9996]  1[0.0004]  0
0[0.9994]  1[0.0006]  0
0[0.9999]  1[0.0001]  0
0[0.1079]  1[0.8921]  1
0[1.0000]  1[0.0000]  0
0[0.9064]  1[0.0936]  0
0[0.9975]  1[0.0025]  0
0[0.0389]  1[0.9611]  1
0[0.0543]  1[0.9457]  1
0[0.6627]  1[0.3373]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9985]  1[0.0015]  0
0[0.9958]  1[0.0042]  0
0[0.9971]  1[0.0029]  0
0[0.0536]  1[0.9464]  1
0[0.8964]  1[0.1036]  0
0[0.0067]  1[0.9933]  1
0[0.8386]  1[0.1614]  0
0[0.0183]  1[0.9817]  1
0[0.9877]  1[0.0123]  0
0[0.9995]  1[0.0005]  0
0[0.9978]  1[0.0022]  0
0[1.0000]  1[0.0000]  0
0[0.3938]  1[0.6062]  1
0[0.9873]  1[0.0127]  0
0[0.9995]  1[0.0005]  0
0[0.9969]  1[0.0031]  0
0[0.0161]  1[0.9839]  1
0[0.0695]  1[0.9305]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9981]  1[0.0019]  0
0[0.0033]  1[0.9967]  1
0[0.9995]  1[0.0005]  0
0[0.5703]  1[0.4297]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.9879]  1[0.0121]  0
0[0.9980]  1[0.0020]  0
0[0.9999]  1[0.0001]  0
0[0.9444]  1[0.0556]  0
0[0.9996]  1[0.0004]  0
0[0.9985]  1[0.0015]  0
0[0.9961]  1[0.0039]  0
0[0.0161]  1[0.9839]  1
0[0.9995]  1[0.0005]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9845]  1[0.0155]  0
0[0.9986]  1[0.0014]  0
0[0.9972]  1[0.0028]  0
0[0.9985]  1[0.0015]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9930]  1[0.0070]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9994]  1[0.0006]  0
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[0.9986]  1[0.0014]  0
0[0.9997]  1[0.0003]  0
0[0.9967]  1[0.0033]  0
0[0.9999]  1[0.0001]  0
0[0.9971]  1[0.0029]  0
0[0.9997]  1[0.0003]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0243]  1[0.9757]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9736]  1[0.0264]  0
0[0.9997]  1[0.0003]  0
0[0.9998]  1[0.0002]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[0.9982]  1[0.0018]  0
0[0.4119]  1[0.5881]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0128]  1[0.9872]  1
0[0.9972]  1[0.0028]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9889]  1[0.0111]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9679]  1[0.0321]  0
0[0.9974]  1[0.0026]  0
0[0.9938]  1[0.0062]  0
0[0.9984]  1[0.0016]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.9984]  1[0.0016]  0
