Expansion[0.2888]  Contingency[0.1178]  Comparison[0.0073]  Temporal[0.5861]  Temporal
Expansion[0.0369]  Contingency[0.0033]  Comparison[0.0004]  Temporal[0.9595]  Temporal
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.0137]  Contingency[0.0041]  Comparison[0.0126]  Temporal[0.9695]  Temporal
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9871]  Temporal[0.0047]  Comparison
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0002]  Contingency[0.2589]  Comparison[0.0009]  Temporal[0.7399]  Temporal
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9871]  Temporal[0.0047]  Comparison
Expansion[0.0002]  Contingency[0.2589]  Comparison[0.0009]  Temporal[0.7399]  Temporal
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.8264]  Contingency[0.0034]  Comparison[0.0104]  Temporal[0.1598]  Expansion
Expansion[0.0038]  Contingency[0.9555]  Comparison[0.0153]  Temporal[0.0254]  Contingency
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0063]  Contingency[0.0394]  Comparison[0.9279]  Temporal[0.0264]  Comparison
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9901]  Contingency[0.0074]  Comparison[0.0013]  Temporal[0.0012]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9901]  Contingency[0.0074]  Comparison[0.0013]  Temporal[0.0012]  Expansion
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9871]  Temporal[0.0047]  Comparison
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9871]  Temporal[0.0047]  Comparison
