Expansion[0.0122]  Contingency[0.0013]  Comparison[0.0017]  Temporal[0.9847]  Temporal
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0308]  Contingency[0.0003]  Comparison[0.9683]  Temporal[0.0006]  Comparison
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.8346]  Contingency[0.0041]  Comparison[0.1508]  Temporal[0.0105]  Expansion
Expansion[0.0895]  Contingency[0.0122]  Comparison[0.0374]  Temporal[0.8609]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.9633]  Contingency[0.0100]  Comparison[0.0146]  Temporal[0.0121]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.0124]  Contingency[0.0031]  Comparison[0.9766]  Temporal[0.0079]  Comparison
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.0099]  Contingency[0.0126]  Comparison[0.9454]  Temporal[0.0321]  Comparison
Expansion[0.8346]  Contingency[0.0041]  Comparison[0.1508]  Temporal[0.0105]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0124]  Contingency[0.0031]  Comparison[0.9766]  Temporal[0.0079]  Comparison
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0124]  Contingency[0.0031]  Comparison[0.9766]  Temporal[0.0079]  Comparison
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0136]  Contingency[0.9781]  Comparison[0.0045]  Temporal[0.0037]  Contingency
Expansion[0.0087]  Contingency[0.9860]  Comparison[0.0029]  Temporal[0.0024]  Contingency
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.0001]  Contingency[0.9469]  Comparison[0.0413]  Temporal[0.0117]  Contingency
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0099]  Contingency[0.0126]  Comparison[0.9454]  Temporal[0.0321]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0002]  Contingency[0.3073]  Comparison[0.0373]  Temporal[0.6552]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0026]  Contingency[0.0584]  Comparison[0.0004]  Temporal[0.9386]  Temporal
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
Expansion[0.0058]  Contingency[0.0418]  Comparison[0.0171]  Temporal[0.9352]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
